date,O3,CO,NO2,SO2
2026-01-03,0.1123061499661869,0.0224449813174895,2.504285680010475e-05,8.954301351372527e-05
2026-01-04,0.1132144952813784,0.0297620794270187,2.896544755357253e-05,0.0002512070677059
2026-01-06,0.1126298127902878,0.0259402518471082,1.822548903065682e-05,3.47840958662952e-05
2026-01-10,0.1136162564158439,0.0273068514549069,,
2026-01-07,0.1138113001982371,0.0301904365886002,2.12093049754003e-05,
2026-01-08,0.1128171736995379,,2.41551981162047e-05,0.0001531234086542
2026-01-05,0.1125243672066264,,2.140114900777752e-05,2.043230463944686e-05
2026-01-09,0.1134904760453436,0.0231546735657112,1.8602763369320503e-05,0.0001675825055523
2026-03-26,0.1150104294220606,0.0356105982579968,1.9644079402855585e-05,0.0003206443525009
2026-03-30,0.1162808131840494,0.0315977921991637,2.416849363064764e-05,-1.5946124060593e-05
2026-03-24,0.1162683081295755,0.025815860968497,2.768143814467873e-05,0.0002684040865636
2026-03-31,0.1169872641563415,0.031013936176896,2.6068317261839133e-05,0.0001468776348723
2026-03-28,0.1165631996260748,0.0284259244799613,1.8942011214069986e-05,0.000198857269
2026-03-27,0.1175717360650499,0.0356070772227313,2.7358894320579047e-05,7.418787877863256e-05
2026-03-25,0.1175076198246743,0.0314406964927911,,0.0004149583575781
2026-03-29,0.1166988218824068,0.0344683809826771,,0.0002365767155424
2025-08-25,0.1168821960687637,0.0294434819370508,,0.0001218594628982
2025-08-26,0.1148207714160283,,2.4048135281574152e-05,0.0003408379609431
2025-08-27,0.1162702292203903,0.029733591650923,3.1181995836959686e-05,-3.687259280316842e-05
2025-08-24,,0.0301101617515087,,0.0004635542863171
2025-09-08,0.1127350035640928,,,-4.186757178104017e-05
2025-09-10,0.1157668761081165,0.0271357779524156,2.373293955315603e-05,0.0002153172554244
2025-09-12,0.1145503438181347,0.0304352274785439,2.676869844435714e-05,
2025-09-11,0.1155348933405346,0.0280366130173206,1.542792797408765e-05,0.0004292624133605
2025-09-06,0.1133065543240971,0.0254859316807526,2.375174777366088e-05,
2025-09-07,0.1134951959053675,0.0303097443034251,3.1590338848117324e-05,0.0002361864013022
2025-09-09,0.1157813486125734,0.0230875839479267,,0.0001781682622095
2025-09-05,0.1139561065369182,,3.766556619666517e-05,
2025-10-27,0.1172062731451458,0.0280121006071567,,
2025-10-23,0.1161303692393832,,,7.351922249654308e-06
2025-10-29,0.1172922043336762,0.0286425338371803,1.55467446545473e-05,0.0001577567692086
2025-10-26,0.1174574161569277,0.0333376693623987,3.336538611620199e-05,-0.000145616014682
2025-10-28,0.1131930091314845,0.0299218650493356,,
2025-10-30,0.1170810802115334,0.0319986364493767,2.1783574870444983e-05,-2.954788340440277e-06
2025-10-25,0.1161303703983624,0.0274634416732523,,-3.003022641223652e-06
2025-10-24,0.116938109199206,0.0332060163219769,,3.870716538282674e-05
2025-11-30,0.1148895129561424,0.0296899263520498,4.0321119740838185e-05,
2025-11-26,0.1120160374376508,0.0283433274676402,3.877327172732395e-05,-5.21640355328323e-06
2025-11-25,0.1127704155113962,0.0304323306247111,,2.460602233137858e-05
2025-11-28,0.112978996667597,0.031813660222623,2.834614148014225e-05,-2.5906953201878684e-05
2025-11-29,0.1154382856355773,0.0301617987554621,3.8982842695610274e-05,-6.818715274466041e-07
2025-12-01,0.1157788178986973,0.0292504790342516,3.3325666884069726e-05,3.803214374170767e-06
2025-11-27,0.1141660493281152,0.0358961640687828,,
2025-11-24,0.1155965117944611,0.0318944621398005,3.022477939238241e-05,2.801995337490966e-05
2026-02-04,0.1145800395144356,0.0315805380956994,3.705169397613241e-05,
2026-02-05,0.1154389805263943,0.0334099418173233,2.171476116927806e-05,8.269317388472548e-05
2026-02-11,0.1126258621613184,0.0302748028188943,1.967253878896505e-05,7.344536014183436e-05
2026-02-06,0.1140449076890945,0.0319430524340042,2.0800030497980515e-05,
2026-02-09,0.1142522608240445,0.0324670191440317,,
2026-02-07,0.1145292272170384,0.0351435502370198,2.1551340328837148e-05,0.0001067375415004
2026-02-08,0.1153517670101589,,1.964773023725061e-05,7.794862782854277e-05
